"","edad","anos_de_experiencia","anos_en_la_empresa_actual","anos_en_el_puesto_actual","trabajo_de","salario_bruto","salario_neto","sueldo_dolarizado"
"37",25,2,2,2,"BI Analyst / Data Analyst",57000,42000,FALSE
"38",51,25,5,5,"BI Analyst / Data Analyst",120000,85000,FALSE
"39",28,3,5,1,"BI Analyst / Data Analyst",80000,63000,FALSE
"40",42,10,10,5,"BI Analyst / Data Analyst",120000,95000,FALSE
"41",29,5,0,0,"Data Scientist / Data Engineer",120000,89000,FALSE
"42",32,2,1,1,"Data Scientist / Data Engineer",120000,88457,FALSE
"43",32,5,0,0,"Data Scientist / Data Engineer",120000,80000,FALSE
"44",28,4,0,3,"Data Scientist / Data Engineer",120000,90000,FALSE
"45",35,15,5,3,"BI Analyst / Data Analyst",119000,86000,FALSE
"46",31,10,0,0,"BI Analyst / Data Analyst",115000,93000,FALSE
"47",27,9,7,3,"BI Analyst / Data Analyst",115000,90000,FALSE
"48",27,2,15,15,"BI Analyst / Data Analyst",50000,43000,FALSE
"49",27,2,0,0,"Data Scientist / Data Engineer",115000,95000,FALSE
"50",36,5,0,5,"BI Analyst / Data Analyst",72000,60000,FALSE
"51",31,4,0,0,"Data Scientist / Data Engineer",112000,84000,FALSE
"52",36,12,3,6,"BI Analyst / Data Analyst",110000,80000,FALSE
"53",35,6,0,5,"Data Scientist / Data Engineer",110000,86000,FALSE
"54",31,3,8,2,"Data Scientist / Data Engineer",110000,80000,FALSE
"55",23,1,1,1,"BI Analyst / Data Analyst",35000,30000,FALSE
"56",27,1,1,0,"Data Scientist / Data Engineer",108000,89000,FALSE
"57",27,3,1,1,"BI Analyst / Data Analyst",106000,73000,FALSE
"58",31,5,1,1,"BI Analyst / Data Analyst",75000,62000,FALSE
"59",35,12,0,12,"Data Scientist / Data Engineer",105800,80000,FALSE
"60",55,30,3,3,"BI Analyst / Data Analyst",105000,78000,FALSE
"61",32,9,9,9,"BI Analyst / Data Analyst",105000,80000,FALSE
"62",46,16,5,5,"BI Analyst / Data Analyst",105000,75000,FALSE
"63",28,7,2,5,"BI Analyst / Data Analyst",103000,80000,FALSE
"64",29,0,0,0,"BI Analyst / Data Analyst",41000,34500,FALSE
"65",28,4,0,3,"BI Analyst / Data Analyst",1e+05,75000,FALSE
"66",36,2,1,2,"BI Analyst / Data Analyst",70000,66000,FALSE
"67",32,6,4,4,"BI Analyst / Data Analyst",1e+05,70000,FALSE
"68",35,8,5,5,"BI Analyst / Data Analyst",1e+05,80000,FALSE
"69",27,5,2,0,"BI Analyst / Data Analyst",1e+05,78000,FALSE
"70",36,10,0,0,"Data Scientist / Data Engineer",1e+05,80000,FALSE
"71",29,4,2,3,"BI Analyst / Data Analyst",62000,55000,FALSE
"72",26,3,3,1,"BI Analyst / Data Analyst",80000,70000,FALSE
"73",33,3,1,1,"Data Scientist / Data Engineer",1e+05,70000,FALSE
"74",37,15,1,1,"BI Analyst / Data Analyst",48200,42150,FALSE
"75",34,5,0,0,"BI Analyst / Data Analyst",40000,37000,FALSE
"76",30,9,0,0,"BI Analyst / Data Analyst",1e+05,85000,FALSE
"77",43,23,1,1,"BI Analyst / Data Analyst",1e+05,80000,FALSE
"78",40,19,2,3,"Data Scientist / Data Engineer",1e+05,80000,FALSE
"79",25,2,2,1,"Data Scientist / Data Engineer",1e+05,78000,FALSE
"80",23,1,1,1,"BI Analyst / Data Analyst",41200,34196,FALSE
"81",57,36,17,10,"Data Scientist / Data Engineer",1e+05,80000,FALSE
"82",28,4,35,2,"Data Scientist / Data Engineer",1e+05,80000,FALSE
"83",43,20,22,5,"BI Analyst / Data Analyst",64000,55000,FALSE
"84",31,10,2,2,"Data Scientist / Data Engineer",1e+05,80000,FALSE
"85",35,10,0,0,"Data Scientist / Data Engineer",1e+05,75000,FALSE
"86",25,6,4,2,"Data Scientist / Data Engineer",98000,70200,FALSE
"87",30,10,2,2,"BI Analyst / Data Analyst",96385,80000,FALSE
"88",26,5,0,0,"BI Analyst / Data Analyst",96000,78000,FALSE
"89",33,10,1,1,"BI Analyst / Data Analyst",95000,78000,FALSE
"90",30,5,1,1,"BI Analyst / Data Analyst",95000,73000,FALSE
"91",37,14,0,12,"BI Analyst / Data Analyst",95000,72500,FALSE
"92",35,7,3,3,"Data Scientist / Data Engineer",95000,73000,FALSE
"93",27,5,1,1,"BI Analyst / Data Analyst",94000,78000,FALSE
"94",30,5,1,1,"BI Analyst / Data Analyst",94000,72000,FALSE
"95",30,4,4,4,"BI Analyst / Data Analyst",35000,30000,FALSE
"96",28,3,0,0,"Data Scientist / Data Engineer",94000,70000,FALSE
"97",24,2,0,0,"BI Analyst / Data Analyst",60000,43000,FALSE
"98",24,2,0,0,"BI Analyst / Data Analyst",60000,43000,FALSE
"99",37,4,6,2,"BI Analyst / Data Analyst",92500,72000,FALSE
"100",28,1,1,1,"Data Scientist / Data Engineer",92300,70641,FALSE
"101",48,20,0,0,"Data Scientist / Data Engineer",92000,74000,FALSE
"102",31,1,0,0,"BI Analyst / Data Analyst",64000,53000,FALSE
"103",34,9,5,9,"BI Analyst / Data Analyst",75000,63000,FALSE
"104",38,14,10,0,"BI Analyst / Data Analyst",90000,72000,FALSE
"105",29,5,2,2,"BI Analyst / Data Analyst",90000,72000,FALSE
"106",42,15,1,1,"BI Analyst / Data Analyst",90000,74000,FALSE
"107",28,5,4,1,"Data Scientist / Data Engineer",90000,67000,FALSE
"108",24,2,1,0,"Data Scientist / Data Engineer",90000,75000,FALSE
"109",23,2,1,1,"Data Scientist / Data Engineer",90000,70000,FALSE
"110",37,8,3,1,"BI Analyst / Data Analyst",47000,40000,FALSE
"111",39,7,1,1,"BI Analyst / Data Analyst",87000,78000,FALSE
"112",30,7,3,1,"BI Analyst / Data Analyst",86000,70000,FALSE
"113",26,6,5,0,"BI Analyst / Data Analyst",85000,66000,FALSE
"114",27,4,3,1,"BI Analyst / Data Analyst",85000,68000,FALSE
"115",25,5,0,0,"BI Analyst / Data Analyst",85000,70000,FALSE
"116",30,7,0,7,"BI Analyst / Data Analyst",84000,67000,FALSE
"117",26,7,0,4,"BI Analyst / Data Analyst",84000,64000,FALSE
"118",30,8,0,0,"BI Analyst / Data Analyst",82000,60000,FALSE
"119",25,1,0,0,"BI Analyst / Data Analyst",81000,65000,FALSE
"120",28,4,2,1,"BI Analyst / Data Analyst",80000,65000,FALSE
"121",29,0,0,0,"BI Analyst / Data Analyst",40000,37350,FALSE
"122",31,12,0,2,"BI Analyst / Data Analyst",80000,68000,FALSE
"123",31,4,0,0,"BI Analyst / Data Analyst",80000,63000,FALSE
"124",27,3,15,15,"Data Scientist / Data Engineer",80000,66000,FALSE
"125",30,3,3,1,"BI Analyst / Data Analyst",44000,36500,FALSE
"126",26,3,3,15,"Data Scientist / Data Engineer",80000,65000,FALSE
"127",26,3,1,2,"Data Scientist / Data Engineer",80000,68000,FALSE
"128",30,4,0,0,"Data Scientist / Data Engineer",78382,65058,FALSE
"129",37,15,3,1,"BI Analyst / Data Analyst",78000,50000,FALSE
"130",28,5,5,4,"Data Scientist / Data Engineer",76431,65047,FALSE
"131",23,0,0,0,"Data Scientist / Data Engineer",55503,46067,FALSE
"132",37,14,2,2,"Data Scientist / Data Engineer",95000,85000,FALSE
"133",41,19,0,9,"BI Analyst / Data Analyst",76000,63000,FALSE
"134",21,0,0,0,"Data Scientist / Data Engineer",25000,22000,FALSE
"135",43,2,2,2,"Data Scientist / Data Engineer",75980,63063,FALSE
"136",30,8,3,3,"Data Scientist / Data Engineer",75093,59994,FALSE
"137",37,17,17,4,"BI Analyst / Data Analyst",75000,60000,FALSE
"138",34,12,15,2,"Data Scientist / Data Engineer",70000,61000,FALSE
"139",37,15,15,1,"Data Scientist / Data Engineer",150000,120000,FALSE
"140",23,0,0,0,"Data Scientist / Data Engineer",60000,48000,FALSE
"141",32,6,1,1,"Data Scientist / Data Engineer",95000,80000,FALSE
"142",24,3,0,1,"BI Analyst / Data Analyst",75000,62000,FALSE
"143",38,12,5,5,"BI Analyst / Data Analyst",75000,63000,FALSE
"144",27,3,0,0,"BI Analyst / Data Analyst",75000,63500,FALSE
"145",29,2,0,0,"Data Scientist / Data Engineer",75000,70000,FALSE
"146",26,1,1,1,"Data Scientist / Data Engineer",47000,41000,FALSE
"147",32,4,25,25,"Data Scientist / Data Engineer",53000,42000,FALSE
"148",29,3,3,3,"Data Scientist / Data Engineer",73245,60000,FALSE
"149",22,2,2,1,"Data Scientist / Data Engineer",60000,54000,FALSE
